index,season,year,month,holiday,weekday,workingday,weather,casual_users,registered_users,total_users
123,spring,2011,5,nonholiday,Tuesday,workingday,Misty to misty with clouds,603,3848,4451
124,spring,2011,5,nonholiday,Wednesday,workingday,Misty to misty with clouds,255,2378,2633
125,spring,2011,5,nonholiday,Thursday,workingday,Clear to partly cloudy,614,3819,4433
126,spring,2011,5,nonholiday,Friday,workingday,Clear to partly cloudy,894,3714,4608
127,spring,2011,5,nonholiday,Saturday,nonworkingday,Clear to partly cloudy,1612,3102,4714
128,spring,2011,5,nonholiday,Sunday,nonworkingday,Clear to partly cloudy,1401,2932,4333
129,spring,2011,5,nonholiday,Monday,workingday,Clear to partly cloudy,664,3698,4362
130,spring,2011,5,nonholiday,Tuesday,workingday,Clear to partly cloudy,694,4109,4803
131,spring,2011,5,nonholiday,Wednesday,workingday,Clear to partly cloudy,550,3632,4182
132,spring,2011,5,nonholiday,Thursday,workingday,Clear to partly cloudy,695,4169,4864
133,spring,2011,5,nonholiday,Friday,workingday,Misty to misty with clouds,692,3413,4105
134,spring,2011,5,nonholiday,Saturday,nonworkingday,Misty to misty with clouds,902,2507,3409
135,spring,2011,5,nonholiday,Sunday,nonworkingday,Misty to misty with clouds,1582,2971,4553
136,spring,2011,5,nonholiday,Monday,workingday,Clear to partly cloudy,773,3185,3958
137,spring,2011,5,nonholiday,Tuesday,workingday,Misty to misty with clouds,678,3445,4123
138,spring,2011,5,nonholiday,Wednesday,workingday,Misty to misty with clouds,536,3319,3855
139,spring,2011,5,nonholiday,Thursday,workingday,Misty to misty with clouds,735,3840,4575
140,spring,2011,5,nonholiday,Friday,workingday,Clear to partly cloudy,909,4008,4917
141,spring,2011,5,nonholiday,Saturday,nonworkingday,Clear to partly cloudy,2258,3547,5805
142,spring,2011,5,nonholiday,Sunday,nonworkingday,Clear to partly cloudy,1576,3084,4660
143,spring,2011,5,nonholiday,Monday,workingday,Misty to misty with clouds,836,3438,4274
144,spring,2011,5,nonholiday,Tuesday,workingday,Misty to misty with clouds,659,3833,4492
145,spring,2011,5,nonholiday,Wednesday,workingday,Clear to partly cloudy,740,4238,4978
146,spring,2011,5,nonholiday,Thursday,workingday,Clear to partly cloudy,758,3919,4677
147,spring,2011,5,nonholiday,Friday,workingday,Clear to partly cloudy,871,3808,4679
148,spring,2011,5,nonholiday,Saturday,nonworkingday,Clear to partly cloudy,2001,2757,4758
149,spring,2011,5,nonholiday,Sunday,nonworkingday,Clear to partly cloudy,2355,2433,4788
150,spring,2011,5,holiday,Monday,nonworkingday,Clear to partly cloudy,1549,2549,4098
151,spring,2011,5,nonholiday,Tuesday,workingday,Clear to partly cloudy,673,3309,3982
152,spring,2011,6,nonholiday,Wednesday,workingday,Misty to misty with clouds,513,3461,3974
153,spring,2011,6,nonholiday,Thursday,workingday,Clear to partly cloudy,736,4232,4968
154,spring,2011,6,nonholiday,Friday,workingday,Clear to partly cloudy,898,4414,5312
155,spring,2011,6,nonholiday,Saturday,nonworkingday,Clear to partly cloudy,1869,3473,5342
156,spring,2011,6,nonholiday,Sunday,nonworkingday,Misty to misty with clouds,1685,3221,4906
157,spring,2011,6,nonholiday,Monday,workingday,Clear to partly cloudy,673,3875,4548
158,spring,2011,6,nonholiday,Tuesday,workingday,Clear to partly cloudy,763,4070,4833
159,spring,2011,6,nonholiday,Wednesday,workingday,Clear to partly cloudy,676,3725,4401
160,spring,2011,6,nonholiday,Thursday,workingday,Misty to misty with clouds,563,3352,3915
161,spring,2011,6,nonholiday,Friday,workingday,Clear to partly cloudy,815,3771,4586
162,spring,2011,6,nonholiday,Saturday,nonworkingday,Clear to partly cloudy,1729,3237,4966
163,spring,2011,6,nonholiday,Sunday,nonworkingday,Clear to partly cloudy,1467,2993,4460
164,spring,2011,6,nonholiday,Monday,workingday,Clear to partly cloudy,863,4157,5020
165,spring,2011,6,nonholiday,Tuesday,workingday,Clear to partly cloudy,727,4164,4891
166,spring,2011,6,nonholiday,Wednesday,workingday,Clear to partly cloudy,769,4411,5180
167,spring,2011,6,nonholiday,Thursday,workingday,Misty to misty with clouds,545,3222,3767
168,spring,2011,6,nonholiday,Friday,workingday,Clear to partly cloudy,863,3981,4844
169,spring,2011,6,nonholiday,Saturday,nonworkingday,Clear to partly cloudy,1807,3312,5119
170,spring,2011,6,nonholiday,Sunday,nonworkingday,Misty to misty with clouds,1639,3105,4744
171,spring,2011,6,nonholiday,Monday,workingday,Misty to misty with clouds,699,3311,4010
172,summer,2011,6,nonholiday,Tuesday,workingday,Misty to misty with clouds,774,4061,4835
173,summer,2011,6,nonholiday,Wednesday,workingday,Clear to partly cloudy,661,3846,4507
174,summer,2011,6,nonholiday,Thursday,workingday,Misty to misty with clouds,746,4044,4790
175,summer,2011,6,nonholiday,Friday,workingday,Clear to partly cloudy,969,4022,4991
176,summer,2011,6,nonholiday,Saturday,nonworkingday,Clear to partly cloudy,1782,3420,5202
177,summer,2011,6,nonholiday,Sunday,nonworkingday,Clear to partly cloudy,1920,3385,5305
178,summer,2011,6,nonholiday,Monday,workingday,Misty to misty with clouds,854,3854,4708
179,summer,2011,6,nonholiday,Tuesday,workingday,Clear to partly cloudy,732,3916,4648
180,summer,2011,6,nonholiday,Wednesday,workingday,Clear to partly cloudy,848,4377,5225
181,summer,2011,6,nonholiday,Thursday,workingday,Clear to partly cloudy,1027,4488,5515
182,summer,2011,7,nonholiday,Friday,workingday,Clear to partly cloudy,1246,4116,5362
183,summer,2011,7,nonholiday,Saturday,nonworkingday,Clear to partly cloudy,2204,2915,5119
184,summer,2011,7,nonholiday,Sunday,nonworkingday,Misty to misty with clouds,2282,2367,4649
185,summer,2011,7,holiday,Monday,nonworkingday,Misty to misty with clouds,3065,2978,6043
186,summer,2011,7,nonholiday,Tuesday,workingday,Clear to partly cloudy,1031,3634,4665
187,summer,2011,7,nonholiday,Wednesday,workingday,Clear to partly cloudy,784,3845,4629
188,summer,2011,7,nonholiday,Thursday,workingday,Clear to partly cloudy,754,3838,4592
189,summer,2011,7,nonholiday,Friday,workingday,Misty to misty with clouds,692,3348,4040
190,summer,2011,7,nonholiday,Saturday,nonworkingday,Clear to partly cloudy,1988,3348,5336
191,summer,2011,7,nonholiday,Sunday,nonworkingday,Clear to partly cloudy,1743,3138,4881
192,summer,2011,7,nonholiday,Monday,workingday,Clear to partly cloudy,723,3363,4086
193,summer,2011,7,nonholiday,Tuesday,workingday,Clear to partly cloudy,662,3596,4258
194,summer,2011,7,nonholiday,Wednesday,workingday,Clear to partly cloudy,748,3594,4342
195,summer,2011,7,nonholiday,Thursday,workingday,Clear to partly cloudy,888,4196,5084
196,summer,2011,7,nonholiday,Friday,workingday,Clear to partly cloudy,1318,4220,5538
197,summer,2011,7,nonholiday,Saturday,nonworkingday,Clear to partly cloudy,2418,3505,5923
198,summer,2011,7,nonholiday,Sunday,nonworkingday,Clear to partly cloudy,2006,3296,5302
199,summer,2011,7,nonholiday,Monday,workingday,Clear to partly cloudy,841,3617,4458
200,summer,2011,7,nonholiday,Tuesday,workingday,Clear to partly cloudy,752,3789,4541
201,summer,2011,7,nonholiday,Wednesday,workingday,Clear to partly cloudy,644,3688,4332
202,summer,2011,7,nonholiday,Thursday,workingday,Misty to misty with clouds,632,3152,3784
203,summer,2011,7,nonholiday,Friday,workingday,Clear to partly cloudy,562,2825,3387
204,summer,2011,7,nonholiday,Saturday,nonworkingday,Clear to partly cloudy,987,2298,3285
205,summer,2011,7,nonholiday,Sunday,nonworkingday,Clear to partly cloudy,1050,2556,3606
206,summer,2011,7,nonholiday,Monday,workingday,Clear to partly cloudy,568,3272,3840
207,summer,2011,7,nonholiday,Tuesday,workingday,Clear to partly cloudy,750,3840,4590
208,summer,2011,7,nonholiday,Wednesday,workingday,Clear to partly cloudy,755,3901,4656
209,summer,2011,7,nonholiday,Thursday,workingday,Clear to partly cloudy,606,3784,4390
210,summer,2011,7,nonholiday,Friday,workingday,Clear to partly cloudy,670,3176,3846
211,summer,2011,7,nonholiday,Saturday,nonworkingday,Clear to partly cloudy,1559,2916,4475
212,summer,2011,7,nonholiday,Sunday,nonworkingday,Clear to partly cloudy,1524,2778,4302
213,summer,2011,8,nonholiday,Monday,workingday,Clear to partly cloudy,729,3537,4266
214,summer,2011,8,nonholiday,Tuesday,workingday,Clear to partly cloudy,801,4044,4845
215,summer,2011,8,nonholiday,Wednesday,workingday,Misty to misty with clouds,467,3107,3574
216,summer,2011,8,nonholiday,Thursday,workingday,Misty to misty with clouds,799,3777,4576
217,summer,2011,8,nonholiday,Friday,workingday,Clear to partly cloudy,1023,3843,4866
218,summer,2011,8,nonholiday,Saturday,nonworkingday,Misty to misty with clouds,1521,2773,4294
219,summer,2011,8,nonholiday,Sunday,nonworkingday,Clear to partly cloudy,1298,2487,3785
220,summer,2011,8,nonholiday,Monday,workingday,Clear to partly cloudy,846,3480,4326
221,summer,2011,8,nonholiday,Tuesday,workingday,Clear to partly cloudy,907,3695,4602
222,summer,2011,8,nonholiday,Wednesday,workingday,Clear to partly cloudy,884,3896,4780
223,summer,2011,8,nonholiday,Thursday,workingday,Clear to partly cloudy,812,3980,4792
224,summer,2011,8,nonholiday,Friday,workingday,Clear to partly cloudy,1051,3854,4905
225,summer,2011,8,nonholiday,Saturday,nonworkingday,Misty to misty with clouds,1504,2646,4150
226,summer,2011,8,nonholiday,Sunday,nonworkingday,Misty to misty with clouds,1338,2482,3820
227,summer,2011,8,nonholiday,Monday,workingday,Clear to partly cloudy,775,3563,4338
228,summer,2011,8,nonholiday,Tuesday,workingday,Clear to partly cloudy,721,4004,4725
229,summer,2011,8,nonholiday,Wednesday,workingday,Clear to partly cloudy,668,4026,4694
230,summer,2011,8,nonholiday,Thursday,workingday,Clear to partly cloudy,639,3166,3805
231,summer,2011,8,nonholiday,Friday,workingday,Misty to misty with clouds,797,3356,4153
232,summer,2011,8,nonholiday,Saturday,nonworkingday,Clear to partly cloudy,1914,3277,5191
233,summer,2011,8,nonholiday,Sunday,nonworkingday,Clear to partly cloudy,1249,2624,3873
234,summer,2011,8,nonholiday,Monday,workingday,Clear to partly cloudy,833,3925,4758
235,summer,2011,8,nonholiday,Tuesday,workingday,Clear to partly cloudy,1281,4614,5895
236,summer,2011,8,nonholiday,Wednesday,workingday,Clear to partly cloudy,949,4181,5130
237,summer,2011,8,nonholiday,Thursday,workingday,Misty to misty with clouds,435,3107,3542
238,summer,2011,8,nonholiday,Friday,workingday,Clear to partly cloudy,768,3893,4661
239,summer,2011,8,nonholiday,Saturday,nonworkingday,Misty to misty with clouds,226,889,1115
240,summer,2011,8,nonholiday,Sunday,nonworkingday,Clear to partly cloudy,1415,2919,4334
241,summer,2011,8,nonholiday,Monday,workingday,Clear to partly cloudy,729,3905,4634
242,summer,2011,8,nonholiday,Tuesday,workingday,Clear to partly cloudy,775,4429,5204
243,summer,2011,8,nonholiday,Wednesday,workingday,Clear to partly cloudy,688,4370,5058
244,summer,2011,9,nonholiday,Thursday,workingday,Clear to partly cloudy,783,4332,5115
245,summer,2011,9,nonholiday,Friday,workingday,Misty to misty with clouds,875,3852,4727
246,summer,2011,9,nonholiday,Saturday,nonworkingday,Clear to partly cloudy,1935,2549,4484
247,summer,2011,9,nonholiday,Sunday,nonworkingday,Clear to partly cloudy,2521,2419,4940
248,summer,2011,9,holiday,Monday,nonworkingday,Misty to misty with clouds,1236,2115,3351
249,summer,2011,9,nonholiday,Tuesday,workingday,Light rain to thunderstorms or light snow,204,2506,2710
250,summer,2011,9,nonholiday,Wednesday,workingday,Light rain to thunderstorms or light snow,118,1878,1996
251,summer,2011,9,nonholiday,Thursday,workingday,Light rain to thunderstorms or light snow,153,1689,1842
252,summer,2011,9,nonholiday,Friday,workingday,Misty to misty with clouds,417,3127,3544
253,summer,2011,9,nonholiday,Saturday,nonworkingday,Clear to partly cloudy,1750,3595,5345
254,summer,2011,9,nonholiday,Sunday,nonworkingday,Clear to partly cloudy,1633,3413,5046
255,summer,2011,9,nonholiday,Monday,workingday,Clear to partly cloudy,690,4023,4713
256,summer,2011,9,nonholiday,Tuesday,workingday,Clear to partly cloudy,701,4062,4763
257,summer,2011,9,nonholiday,Wednesday,workingday,Clear to partly cloudy,647,4138,4785
258,summer,2011,9,nonholiday,Thursday,workingday,Misty to misty with clouds,428,3231,3659
259,summer,2011,9,nonholiday,Friday,workingday,Misty to misty with clouds,742,4018,4760
260,summer,2011,9,nonholiday,Saturday,nonworkingday,Misty to misty with clouds,1434,3077,4511
261,summer,2011,9,nonholiday,Sunday,nonworkingday,Clear to partly cloudy,1353,2921,4274
262,summer,2011,9,nonholiday,Monday,workingday,Misty to misty with clouds,691,3848,4539
263,summer,2011,9,nonholiday,Tuesday,workingday,Misty to misty with clouds,438,3203,3641
264,summer,2011,9,nonholiday,Wednesday,workingday,Misty to misty with clouds,539,3813,4352
265,summer,2011,9,nonholiday,Thursday,workingday,Misty to misty with clouds,555,4240,4795
266,fall,2011,9,nonholiday,Friday,workingday,Misty to misty with clouds,258,2137,2395
267,fall,2011,9,nonholiday,Saturday,nonworkingday,Misty to misty with clouds,1776,3647,5423
268,fall,2011,9,nonholiday,Sunday,nonworkingday,Misty to misty with clouds,1544,3466,5010
269,fall,2011,9,nonholiday,Monday,workingday,Misty to misty with clouds,684,3946,4630
270,fall,2011,9,nonholiday,Tuesday,workingday,Misty to misty with clouds,477,3643,4120
271,fall,2011,9,nonholiday,Wednesday,workingday,Misty to misty with clouds,480,3427,3907
272,fall,2011,9,nonholiday,Thursday,workingday,Clear to partly cloudy,653,4186,4839
273,fall,2011,9,nonholiday,Friday,workingday,Clear to partly cloudy,830,4372,5202
274,fall,2011,10,nonholiday,Saturday,nonworkingday,Misty to misty with clouds,480,1949,2429
275,fall,2011,10,nonholiday,Sunday,nonworkingday,Misty to misty with clouds,616,2302,2918
276,fall,2011,10,nonholiday,Monday,workingday,Misty to misty with clouds,330,3240,3570
277,fall,2011,10,nonholiday,Tuesday,workingday,Clear to partly cloudy,486,3970,4456
278,fall,2011,10,nonholiday,Wednesday,workingday,Clear to partly cloudy,559,4267,4826
279,fall,2011,10,nonholiday,Thursday,workingday,Clear to partly cloudy,639,4126,4765
280,fall,2011,10,nonholiday,Friday,workingday,Clear to partly cloudy,949,4036,4985
281,fall,2011,10,nonholiday,Saturday,nonworkingday,Clear to partly cloudy,2235,3174,5409
282,fall,2011,10,nonholiday,Sunday,nonworkingday,Clear to partly cloudy,2397,3114,5511
283,fall,2011,10,holiday,Monday,nonworkingday,Clear to partly cloudy,1514,3603,5117
284,fall,2011,10,nonholiday,Tuesday,workingday,Misty to misty with clouds,667,3896,4563
285,fall,2011,10,nonholiday,Wednesday,workingday,Light rain to thunderstorms or light snow,217,2199,2416
286,fall,2011,10,nonholiday,Thursday,workingday,Misty to misty with clouds,290,2623,2913
287,fall,2011,10,nonholiday,Friday,workingday,Misty to misty with clouds,529,3115,3644
288,fall,2011,10,nonholiday,Saturday,nonworkingday,Clear to partly cloudy,1899,3318,5217
289,fall,2011,10,nonholiday,Sunday,nonworkingday,Clear to partly cloudy,1748,3293,5041
290,fall,2011,10,nonholiday,Monday,workingday,Clear to partly cloudy,713,3857,4570
291,fall,2011,10,nonholiday,Tuesday,workingday,Misty to misty with clouds,637,4111,4748
292,fall,2011,10,nonholiday,Wednesday,workingday,Light rain to thunderstorms or light snow,254,2170,2424
293,fall,2011,10,nonholiday,Thursday,workingday,Clear to partly cloudy,471,3724,4195
294,fall,2011,10,nonholiday,Friday,workingday,Clear to partly cloudy,676,3628,4304
295,fall,2011,10,nonholiday,Saturday,nonworkingday,Clear to partly cloudy,1499,2809,4308
296,fall,2011,10,nonholiday,Sunday,nonworkingday,Clear to partly cloudy,1619,2762,4381
297,fall,2011,10,nonholiday,Monday,workingday,Clear to partly cloudy,699,3488,4187
298,fall,2011,10,nonholiday,Tuesday,workingday,Clear to partly cloudy,695,3992,4687
299,fall,2011,10,nonholiday,Wednesday,workingday,Misty to misty with clouds,404,3490,3894
300,fall,2011,10,nonholiday,Thursday,workingday,Misty to misty with clouds,240,2419,2659
301,fall,2011,10,nonholiday,Friday,workingday,Misty to misty with clouds,456,3291,3747
302,fall,2011,10,nonholiday,Saturday,nonworkingday,Light rain to thunderstorms or light snow,57,570,627
303,fall,2011,10,nonholiday,Sunday,nonworkingday,Clear to partly cloudy,885,2446,3331
304,fall,2011,10,nonholiday,Monday,workingday,Clear to partly cloudy,362,3307,3669
305,fall,2011,11,nonholiday,Tuesday,workingday,Clear to partly cloudy,410,3658,4068
306,fall,2011,11,nonholiday,Wednesday,workingday,Clear to partly cloudy,370,3816,4186
307,fall,2011,11,nonholiday,Thursday,workingday,Clear to partly cloudy,318,3656,3974
308,fall,2011,11,nonholiday,Friday,workingday,Misty to misty with clouds,470,3576,4046
